"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"446",2022-06-01,"NE","LINCOLN",31111,130,4,71,55,0,0,130,250,2,1,1,"Lincoln",27,1
"447",2022-06-01,"NE","MADISON",31119,611,1,1,609,0,0,611,127,1,1,1,"Madison",0,0
"448",2022-06-01,"NE","PLATTE",31141,196,3,188,5,0,0,196,88,-1,0,1,"Platte",0,0
"449",2022-06-01,"NE","SARPY",31153,789,8,491,290,0,0,789,1255,0,1,3,"Sarpy",0,2
"450",2022-06-01,"NE","SAUNDERS",31155,51,1,18,32,0,0,51,61,0,0,0,"Saunders",0,0
"451",2022-06-01,"NE","SCOTTS BLUFF",31157,173,11,69,93,0,0,173,134,0,0,1,"Scotts Bluff",19,0
"452",2022-06-01,"NE","WASHINGTON",31177,63,0,24,39,0,0,63,89,0,0,0,"Washington",0,0
"453",2022-07-01,"NE","ADAMS",31001,237,4,67,166,0,0,237,0,0,1,1,"Adams",13,0
"454",2022-07-01,"NE","BUFFALO",31019,409,11,173,225,0,0,409,0,-2,0,1,"Buffalo",46,1
"455",2022-07-01,"NE","CASS",31025,109,1,61,47,0,0,109,0,0,0,0,NA,NA,NA
"456",2022-07-01,"NE","DAKOTA",31043,188,4,160,24,0,0,188,0,-1,1,1,NA,NA,NA
"457",2022-07-01,"NE","DAWSON",31047,111,1,33,77,0,0,111,0,-3,0,0,"Dawson",7,0
"458",2022-07-01,"NE","DODGE",31053,199,0,62,137,0,0,199,0,0,0,0,"Dodge",0,2
"459",2022-07-01,"NE","DOUGLAS",31055,3167,34,1768,1365,0,0,3167,0,-2,17,25,"Douglas",337,16
"460",2022-07-01,"NE","GAGE",31067,38,0,18,20,0,0,38,0,-1,1,2,"Gage",20,2
"461",2022-07-01,"NE","HALL",31079,412,1,298,113,0,386,26,0,0,2,2,"Hall",34,3
"462",2022-07-01,"NE","LANCASTER",31109,1773,19,700,1054,0,0,1773,0,-1,7,14,"Lancaster",128,4
"463",2022-07-01,"NE","LINCOLN",31111,140,3,88,49,0,0,140,0,0,1,1,"Lincoln",29,1
"464",2022-07-01,"NE","MADISON",31119,362,10,8,344,0,0,362,0,0,0,3,"Madison",25,0
"465",2022-07-01,"NE","PLATTE",31141,277,1,270,6,0,0,277,0,0,0,0,"Platte",0,0
"466",2022-07-01,"NE","SARPY",31153,1027,11,519,497,0,0,1027,0,-1,5,11,"Sarpy",16,2
"467",2022-07-01,"NE","SAUNDERS",31155,88,2,32,54,0,0,88,0,0,1,3,"Saunders",0,2
"468",2022-07-01,"NE","SCOTTS BLUFF",31157,344,16,128,200,0,0,344,0,0,0,0,"Scotts Bluff",31,0
"469",2022-07-01,"NE","WASHINGTON",31177,105,2,35,68,0,0,105,0,0,0,0,"Washington",7,0
"470",2022-08-01,"NE","ADAMS",31001,106,0,47,59,0,0,106,411,1,1,2,"Adams",16,1
"471",2022-08-01,"NE","BUFFALO",31019,229,6,96,127,0,15,214,745,0,1,1,"Buffalo",45,1
"472",2022-08-01,"NE","CASS",31025,48,2,40,6,0,0,48,372,0,1,1,NA,NA,NA
"473",2022-08-01,"NE","DAKOTA",31043,117,5,105,7,0,0,117,494,2,0,0,NA,NA,NA
"474",2022-08-01,"NE","DAWSON",31047,59,3,17,39,0,0,59,201,0,0,0,"Dawson",7,0
"475",2022-08-01,"NE","DODGE",31053,198,1,63,134,0,0,198,548,0,1,3,"Dodge",15,1
"476",2022-08-01,"NE","DOUGLAS",31055,1421,20,1029,372,0,0,1421,9658,19,13,21,"Douglas",405,8
"477",2022-08-01,"NE","GAGE",31067,17,0,5,12,0,0,17,127,0,1,1,"Gage",8,1
"478",2022-08-01,"NE","HALL",31079,294,1,120,173,0,258,36,872,1,2,2,"Hall",29,1
"479",2022-08-01,"NE","LANCASTER",31109,2175,14,239,1922,0,0,2175,5156,3,3,9,"Lancaster",122,2
