"","PLAYER","TEAM","AGE","POS","HANDED","GP","G","A","P","P/GP","+/-","Sh","Sh%","TOI","W","L","SO","GAA","Sv%","CLAUSE","EXPIRY","CAP HIT","SALARY"
"395","395. Alex Limoges","WSH",26,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"396","396. Jack Johnson","COL",37,"LD","Left",80,"3","13","16","0.20","15","76","0.04","14:55","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"397","397. Ryan Carpenter","SJS",33,"RW, C","Right",62,"5","7","12","0.19","-16","58","0.09","11:06","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"398","398. Vinnie Hinostroza","PIT",30,"RW, LW","Right",14,"1","2","3","0.21","-3","27","0.04","09:45","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"399","399. Rourke Chartier","OTT",28,"C","Left",37,"2","1","3","0.08","-4","40","0.05","10:46","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"400","400. Victor Mete","PHI",26,"LD/RD","Left",1,"0","0","0","0.00","0","0","0.00","10:52","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"401","401. Brett Murray","BUF",25,"LW","Left",2,"0","0","0","0.00","-1","1","0.00","07:58","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"402","402. Evan Cormier","FLA",26,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$775,000","$775,000"
"403","403. Ryan Shea","PIT",27,"LD","Left",31,"1","0","1","0.03","1","17","0.06","12:37","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"404","404. Bokondji Imama","OTT",27,"LW","Left",6,"0","0","0","0.00","1","1","0.00","05:35","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"405","405. Chase Priskie","WSH",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"406","406. Zach Aston-Reese","DET",29,"LW, RW","Left",3,"0","0","0","0.00","0","1","0.00","05:09","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"407","407. Kyle Keyser","BOS",25,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFAGroup 6","$775,000","$775,000"
"408","408. Ian Mitchell","BOS",25,"RD","Right",13,"0","2","2","0.15","6","11","0.00","15:18","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"409","409. Nick Swaney","MIN",26,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"410","410. Collin Delia","WPG",30,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"411","411. Samuel Fagemo","LAK",24,"LW, RW","Right",8,"1","0","1","0.13","-1","13","0.08","09:11","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"412","412. Mitch Reinke","SEA",28,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"413","413. Justin Richards","BUF",26,"C, RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"414","414. Ben Meyers","ANA",25,"LW, C","Left",23,"1","2","3","0.13","-4","12","0.08","10:06","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"415","415. Alex Limoges","WSH",26,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"416","416. Corey Perry","EDM",39,"RW","Right",54,"12","10","22","0.41","-6","82","0.15","13:22","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"417","417. Michael Hutchinson","DET",34,"G","Right",1,"-","-","-","-","-","-","-","-","0","1","0","3.16",".917",NA,"UFA","$775,000","$775,000"
"418","418. Derrick Pouliot","DAL",30,"LD","Left",5,"0","0","0","0.00","-1","5","0.00","12:08","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"419","419. Aaron Dell","LAK",35,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"420","420. Chris Tierney","NJD",30,"C","Left",52,"4","8","12","0.23","3","26","0.15","09:01","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"421","421. Zane McIntyre","MIN",31,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
"422","422. Logan Brown","TBL",26,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"423","423. Anthony Richard","BOS",27,"LW, RW","Left",9,"1","2","3","0.33","0","6","0.17","10:36","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"424","424. Fredrik Karlström","DAL",26,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"425","425. Matt Murray","DAL",26,"G","Left",1,"-","-","-","-","-","-","-","-","1","0","1","0.00","1.000",NA,"RFA","$775,000","$775,000"
